company,city,website,founder_name,founder_contact_masked,source,source_page,also_seen_in,founder_snippet,email,phone,website_source
Shapemeans,,https://shapemeans.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,contact@shapemeans.com,NOT FOUND,
Epibreed,,https://epibreed.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,contact@epibreed.com,NOT FOUND,
T3 Pharmaceuticals,,https://www.t3pharma.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,info@t3pharma.com,NOT FOUND,
ECyTech,,https://swissbluetecbridge.ch/entrepreneurs/ecytech/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,NOT FOUND,
Artidis,,https://artidis.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,"company that will make it happen. Dr. Marija Plodinec CEO, Founder I work for ARTIDIS because of its breakthrough poten",NOT FOUND,0131842949,
Polyneuron,,https://polyneuron.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,g in Public Health. Dr. Ruben Herrendorff CEO Ruben is a co-founder and Chief Executive Officer of Polyneuron. His drug,NOT FOUND,NOT FOUND,
HEJUBA,,https://hejuba.ch/de/home,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,support@hejuba.com,0041615115,
GeneGuide,,https://www.geneguide.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,"​ Andreas Papassotiropoulos and Dominique de Quervain, the founders of GeneGuide share more than 18 years of scientific",geneguide@brainscience.ch,+41 61 207 02 38,
Mimedis,,https://www.medartis.com/fileadmin/user_upload/Investor_Relations/Media_Releases_EN/2017/170705_MM_Medartis_Mimedis_e.pdf,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,NOT FOUND,
CureAB,,https://www.cureab.ch/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,NOT FOUND,
Biotechnostics,,https://www.investiere.ch/biotechnostics,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,NOT FOUND,
Mininavident,,https://www.mininavident.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,NOT FOUND,
Advanced Osteotomy Tools,,https://aot.swiss/company/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,NOT FOUND,
HighDim,,https://highdim.swiss/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,NOT FOUND,NOT FOUND,
MarktIX,,https://www.marktix.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,info@marktix.com,NOT FOUND,
NanoScan,,https://www.nanoscan.ch/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,sales@iontof.com,NOT FOUND,
Santhera Pharmaceuticals,,https://www.santhera.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,office@santhera.com,+41 61 906 89 50,
Alpha-O Peptides,,https://www.aopeptides.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,peter.burkhard@aopeptides.ch,0240075120,
4-Antibody,,https://agenusbio.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,"g in our mission to transform outcomes.” Garo H. Armen, PhD Founder, Chairman and Chief Executive Officer In the News On",NOT FOUND,0990464264,
Nanonis,,https://www.specs-group.com/nanonis/products/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,info@specs-group.com,0112113327,
Canoo Engineering,,https://imtf.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,info@imtf.com,NOT FOUND,
Diagene,,https://www.diagene.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,info@diagene.com,NOT FOUND,
Nanosurf,,https://www.nanosurf.com/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,pavic@nanosurf.com,0904853643,
Vitaplant,,https://vitaplant.ch/de/,,,University of Basel,https://www.unibas.ch/en/University/Innovation/Propelling-Grants/Our-Start-ups.html,,NOT FOUND,info@opten.ch,0041714660,
dexterousendoscopes.com,,https://www.dexterousendoscopes.com/,,,BioAlps,https://bioalps.org/venture-leaders-medtech-2026/,,NOT FOUND,NOT FOUND,0714285714,
molesense.ch,,https://www.molesense.ch/,,,BioAlps,https://bioalps.org/venture-leaders-medtech-2026/,,NOT FOUND,contact@molesense.ch,NOT FOUND,
optizone.ch,,https://www.optizone.ch/,,,BioAlps,https://bioalps.org/venture-leaders-medtech-2026/,,"only our job, it is a mission in our personal lives. CEO & Founder Dr. Mina Baniasad Postdoc EPFL. 15 years advanced mu",mina.baniasad@optizone.ch,0000999999,
beyond-diagnostics.com,,https://www.beyond-diagnostics.com,,,BioAlps,https://bioalps.org/venture-leaders-medtech-2026/,,RE LAB Lead Daniel Tobler CTO & Operations Dr. Maren Schinz CEO & Business Dev OUR CORE TEAM . Three Converging Challeng,daniel.tobler@beyond-diagnostics.com,0223337494,
neurodaignostics.com,,https://neurodaignostics.com/,,,BioAlps,https://bioalps.org/venture-leaders-medtech-2026/,,"news neurodAIgnostics appoints Arnaud Bistoquet, PhD, as Co-Founder and Chief Executive Officer 2. April 2026 neurodAIgn",NOT FOUND,NOT FOUND,
rhovica.com,,https://rhovica.com/,,,BioAlps,https://bioalps.org/venture-leaders-medtech-2026/,,"Board of Directors Dr. med. Martin Hlavica Neurosurgeon, Co-Founder & Chief Executive Officer (CEO) Board-certified neur",info@rhovica.com,0551116706,
skaaltec.com,,https://skaaltec.com/,,,BioAlps,https://bioalps.org/venture-leaders-medtech-2026/,,NOT FOUND,NOT FOUND,NOT FOUND,
softletics.ch,,https://softletics.ch/,,,BioAlps,https://bioalps.org/venture-leaders-medtech-2026/,,NOT FOUND,you@example.com,NOT FOUND,
veltist.com,,https://veltist.com/,,,BioAlps,https://bioalps.org/venture-leaders-medtech-2026/,,NOT FOUND,NOT FOUND,0588235294,
